2023-12-27 11:28:12,792 | INFO | Starting PST_Indexer v.0.01
2023-12-27 11:28:12,792 | DEBUG | System linux
2023-12-27 11:28:12,792 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:28:12,792 | INFO | Starting Script...
2023-12-27 11:28:12,792 | DEBUG | Opening PST for processing...
2023-12-27 11:28:12,910 | DEBUG | Starting traverse of PST structure...
2023-12-27 11:28:12,910 | DEBUG | Processing Folder: SPAM Search Folder 2
2023-12-27 11:28:12,910 | WARNING | Empty message not processed
2023-12-27 11:28:12,911 | DEBUG | Processing Folder: Elementos eliminados
2023-12-27 11:28:12,911 | WARNING | Empty message not processed
2023-12-27 11:28:12,911 | DEBUG | Processing Folder: Enviados
2023-12-27 11:28:12,911 | WARNING | Empty message not processed
2023-12-27 11:28:12,911 | DEBUG | Processing Folder: [Gmail]
2023-12-27 11:28:12,912 | WARNING | Empty message not processed
2023-12-27 11:28:12,912 | DEBUG | Processing Folder: Bandeja de entrada
2023-12-27 11:28:15,741 | DEBUG | Processing Folder: Principio del archivo de datos de Outlook
2023-12-27 11:28:15,741 | WARNING | Empty message not processed
2023-12-27 11:28:15,742 | DEBUG | Processing Folder: Buscar raíz
2023-12-27 11:28:15,742 | WARNING | Empty message not processed
2023-12-27 11:28:15,742 | INFO | Script Complete
2023-12-27 11:28:54,103 | INFO | Starting PST_Indexer v.0.01
2023-12-27 11:28:54,103 | DEBUG | System linux
2023-12-27 11:28:54,103 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:28:54,103 | INFO | Starting Script...
2023-12-27 11:28:54,103 | DEBUG | Opening PST for processing...
2023-12-27 11:29:09,162 | INFO | Starting PST_Indexer v.0.01
2023-12-27 11:29:09,162 | DEBUG | System linux
2023-12-27 11:29:09,162 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:29:09,162 | INFO | Starting Script...
2023-12-27 11:29:09,162 | DEBUG | Opening PST for processing...
2023-12-27 11:31:56,901 | INFO | Starting PST_Indexer v.0.01
2023-12-27 11:31:56,902 | DEBUG | System linux
2023-12-27 11:31:56,902 | DEBUG | Version 3.11.4 (main, Dec  7 2023, 15:43:41) [GCC 12.3.0]
2023-12-27 11:31:56,902 | INFO | Starting Script...
